fik_C1,fik_C2,fik_C3,fik_C4,DisplayName,Year,ExhibitionTitle,IsFuzzy
1.0,0.0,0.0,0.0,edward hopper,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,rockwell kent,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,jules pascin,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,maurice sterne,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,lyonel feininger,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,john marin,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,preston dickinson,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,max weber,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,georges-pierre seurat,1929,"Cézanne, Gauguin, Seurat, Van Gogh",False
1.0,0.0,0.0,0.0,charles demuth,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,yasuo kuniyoshi,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,charles burchfield,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,walt kuhn,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,bernard karfiol,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,ernest lawson,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,paul gauguin,1929,"Cézanne, Gauguin, Seurat, Van Gogh",False
1.0,0.0,0.0,0.0,georgia o'keeffe,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,"alfred h. barr, jr.",1929,"Cézanne, Gauguin, Seurat, Van Gogh",False
1.0,0.0,0.0,0.0,john sloan,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,kenneth hayes miller,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,paul cézanne,1929,"Cézanne, Gauguin, Seurat, Van Gogh",False
1.0,0.0,0.0,0.0,vincent van gogh,1929,"Cézanne, Gauguin, Seurat, Van Gogh",False
1.0,0.0,0.0,0.0,eugene speicher,1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,"george overbury (""pop"") hart",1929,Paintings by 19 Living Americans,False
1.0,0.0,0.0,0.0,gaston lachaise,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,isami doi,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,arthur dove,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,awa tsireh (alfonso roybal),1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,william glackens,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,herbert morgan,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,john marin,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,arthur b. carles,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,fides elizando,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,gifford beal,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,charles demuth,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,childe hassam,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,mark tobey,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,stuart davis,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,rudolf belling,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,sidney laufman,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,alexander calder,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,wilhelm hunt diederich,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,ruth jonas,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,charles despiau,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,guy pène du bois,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,georgia o'keeffe,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,dudley vail talcott,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,andrew dasburg,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,vincent van gogh,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,eugene speicher,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,boardman robinson,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,james edward davis,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,ben shahn,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,henry e. schnakenberg,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,maurice sterne,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,alexander brook,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,emile compard,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,jere abbott,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,georges-pierre seurat,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,henry lee mcfee,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,yasuo kuniyoshi,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,virginia berresford,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,merton clivette,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,walt kuhn,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,arshile gorky,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,honoré daumier,1930,"Corot, Daumier",False
1.0,0.0,0.0,0.0,chaim soutine,1930,Painting in Paris,False
1.0,0.0,0.0,0.0,reuben nakian,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,francisco borès,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,kenneth hayes miller,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,karl knaths,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,ernest fiene,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,ann weaver,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,mitchell fields,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,james chapin,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,anna glenny,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,gladys caldwell,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,robert delaunay,1930,Painting in Paris,False
1.0,0.0,0.0,0.0,abel sanchez (oqwa pi),1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,charles l. goeller,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,édouard vuillard,1930,Painting in Paris,False
1.0,0.0,0.0,0.0,arnold friedman,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,jean-baptiste-camille corot,1930,"Corot, Daumier",False
1.0,0.0,0.0,0.0,augustus vincent tack,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,isamu noguchi,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,morris kantor,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,maurice de vlaminck,1930,Painting in Paris,False
1.0,0.0,0.0,0.0,charles sheeler,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,leon kroll,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,hokeah,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,paul burlin,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,benjamin kopman,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,luigi lucioni,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,eugene maccown,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,pierre bonnard,1930,Painting in Paris,False
1.0,0.0,0.0,0.0,george luks,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,paul gauguin,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,john kane,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,william schulhoff,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,john sloan,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,paul cézanne,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,concetta scaravaglione,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,jane berlandina,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,edward hopper,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,john bernard flannagan,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,jules pascin,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,joseph pollet,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,ahron ben-shmuel,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,niles spencer,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,harold cash,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,othon friesz,1930,Painting in Paris,False
1.0,0.0,0.0,0.0,maurice dufrèsne,1930,Painting in Paris,False
1.0,0.0,0.0,0.0,paul gaulois,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,léopold survage,1930,Painting in Paris,False
1.0,0.0,0.0,0.0,preston dickinson,1930,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,edward biberman,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,vincent canadé,1930,Painting and Sculpture by Living Americans,False
1.0,0.0,0.0,0.0,miguel covarrubias,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,elsie driggs,1930,46 Painters and Sculptors under 35 Years of Age,False
1.0,0.0,0.0,0.0,moïse kisling,1930,Painting in Paris,False
